date,category
09/10/2016,51
16/10/2016,49
23/10/2016,48
30/10/2016,48
06/11/2016,45
13/11/2016,46
20/11/2016,50
27/11/2016,48
04/12/2016,45
11/12/2016,48
18/12/2016,50
25/12/2016,54
01/01/2017,48
08/01/2017,45
15/01/2017,43
22/01/2017,42
29/01/2017,42
05/02/2017,40
12/02/2017,39
19/02/2017,40
26/02/2017,40
05/03/2017,39
12/03/2017,39
19/03/2017,42
26/03/2017,42
02/04/2017,40
09/04/2017,41
16/04/2017,40
23/04/2017,40
30/04/2017,40
07/05/2017,39
14/05/2017,39
21/05/2017,39
28/05/2017,40
04/06/2017,41
11/06/2017,41
18/06/2017,41
25/06/2017,43
02/07/2017,43
09/07/2017,43
16/07/2017,43
23/07/2017,43
30/07/2017,43
06/08/2017,44
13/08/2017,43
20/08/2017,45
27/08/2017,45
03/09/2017,45
10/09/2017,100
17/09/2017,61
24/09/2017,55
01/10/2017,54
